front_id,middle_id,pcb,port,middle_x_mm,middle_y_mm,back_x_mm,back_y_mm
A279,L287,24,8,188.172414,90.0,153.060166,52.424793
A280,L288,25,3,210.310345,90.0,192.938648,52.424793
A281,L289,25,6,232.448276,90.0,218.368405,52.424793
A282,L290,25,7,254.586207,90.0,226.844991,52.424793
A283,L291,26,3,276.724138,90.0,275.200059,52.424793
A284,L292,26,12,298.862069,90.0,283.676645,36.579357
A285,L293,26,7,321.0,90.0,309.106402,52.424793
A286,L294,19,1,-321.0,70.0,-317.582988,52.424793
A287,L295,19,4,-295.32,70.0,-292.153231,52.424793
A288,L296,19,7,-269.64,70.0,-266.723474,52.424793
A289,L297,20,1,-243.96,70.0,-235.321577,52.424793
A290,L298,20,4,-218.28,70.0,-209.89182,52.424793
A291,L299,20,8,-192.6,70.0,-175.985477,52.424793
A292,L300,21,11,-166.92,70.0,-136.106995,36.579357
A293,L301,21,4,-141.24,70.0,-127.630409,52.424793
A294,L302,21,7,-115.56,70.0,-102.200652,52.424793
A295,L303,22,1,-89.88,70.0,-70.798755,52.424793
A296,L304,22,3,-64.2,70.0,-53.845584,52.424793
A297,L305,22,14,-38.52,70.0,-28.415827,36.579357
A298,L306,22,15,-12.84,70.0,-19.939241,36.579357
A299,L307,23,9,12.84,70.0,11.462656,36.579357
A300,L308,23,3,38.52,70.0,28.415827,52.424793
A301,L309,23,6,64.2,70.0,53.845584,52.424793
A302,L310,23,8,89.88,70.0,70.798755,52.424793
A303,L311,24,2,115.56,70.0,102.200652,52.424793
A304,L312,24,5,141.24,70.0,127.630409,52.424793
A305,L313,24,14,166.92,70.0,136.106995,36.579357
A306,L314,25,1,192.6,70.0,175.985477,52.424793
A307,L315,25,5,218.28,70.0,209.89182,52.424793
A308,L316,25,8,243.96,70.0,235.321577,52.424793
A309,L317,26,2,269.64,70.0,266.723474,52.424793
A310,L318,26,5,295.32,70.0,292.153231,52.424793
A311,L319,26,8,321.0,70.0,317.582988,52.424793
A312,L320,19,10,-321.0,50.0,-309.106402,36.579357
A313,L321,19,12,-298.180521,50.0,-292.153231,36.579357
A314,L322,19,15,-275.361041,50.0,-266.723474,36.579357
